;symbol;price;volume;Symbol
227;FBIZ;21.97;15623.0;FBIZ
228;FCBC;23.4;61868.0;FCBC
229;FCCO;17.78;15007.0;FCCO
230;FCCY;17.31;13310.0;FCCY
231;FCPT;27.7;353141.0;FCPT
232;FDBC;50.19;1369.0;FDBC
233;FDS;317.97;159037.0;FDS
234;FELE;73.1;87779.0;FELE
235;FFG;56.15;51024.0;FFG
236;FFIN;40.86;396986.0;FFIN
237;FHN;15.15;2460593.0;FHN
238;FIBK;41.28;147831.0;FIBK
239;FISI;25.45;52823.0;FISI
240;FITB;32.095;2892261.0;FITB
241;FIX;58.1;189043.0;FIX
242;FLIC;17.77;57462.0;FLIC
243;FLO;22.39;579618.0;FLO
244;FMAO;24.17;3341.0;FMAO
245;FMBH;34.87;16609.0;FMBH
246;FMBI;17.8;368519.0;FMBI
247;FMNB;14.0;50521.0;FMNB
248;FNCB;7.11;13801.0;FNCB
249;FNF;38.76;1178560.0;FNF
250;FNLC;25.19;7899.0;FNLC
251;FNV;121.06;459796.0;FNV
252;FR;42.4;1391438.0;FR
253;FRAF;28.35;40006.0;FRAF
254;FRC;155.79;476695.0;FRC
255;FRME;40.71;138063.0;FRME
256;FRT;91.26;404886.0;FRT
257;FSBW;58.85;6363.0;FSBW
258;FSFG;61.8;1956.0;FSFG
259;FSV;142.43;24416.0;FSV
260;FUL;55.46;572527.0;FUL
261;FULT;14.27;473849.0;FULT
262;FWRD;76.77;129402.0;FWRD
263;FXNC;17.6;47.0;FXNC
264;GABC;35.09;34420.0;GABC
265;GAIN;11.65;248248.0;GAIN
266;GATX;95.62;238125.0;GATX
267;GBCI;49.61;200674.0;GBCI
268;GBX;40.28;303626.0;GBX
269;GCBC;24.7;1858.0;GCBC
270;GD;158.82;1718644.0;GD
271;GFED;20.16;10826.0;GFED
272;GFF;24.41;147399.0;GFF
273;GGG;71.79;409123.0;GGG
274;GHC;586.2;13359.0;GHC
275;GILD;68.46;14592915.0;GILD
276;GL;93.66;336575.0;GL
277;GLW;37.42;2115174.0;GLW
278;GNTX;34.88;1182918.0;GNTX
279;GPC;101.65;538248.0;GPC
280;GRA;61.0;261231.0;GRA
281;GRC;32.26;77879.0;GRC
282;GS;293.5;2868030.0;GS
283;GSBC;51.57;14317.0;GSBC
284;GTY;27.83;75161.0;GTY
285;GWW;367.9;397318.0;GWW
286;HAS;97.28;1244381.0;HAS
287;HBAN;14.07;8031797.0;HBAN
288;HBCP;31.11;9183.0;HBCP
289;HBNC;17.22;61009.0;HBNC
290;HCKT;14.45;56790.0;HCKT
291;HCSG;32.4;262896.0;HCSG
292;HD;278.86;2260818.0;HD
293;HEI;128.97;280824.0;HEI
294;HESM;21.38;124481.0;HESM
295;HFBL;30.69;28.0;HFBL
296;HFWA;23.83;89286.0;HFWA
297;HI;45.19;227738.0;HI
298;HIFS;236.3;4803.0;HIFS
299;HIG;50.44;2353591.0;HIG
300;HII;163.9;382123.0;HII
301;HLI;66.22;331223.0;HLI
302;HMN;38.62;134931.0;HMN
303;HNI;34.19;157476.0;HNI
304;HNNA;8.63;35946.0;HNNA
305;HOFT;32.54;21904.0;HOFT
306;HOMB;22.37;478081.0;HOMB
307;HON;202.92;1731321.0;HON
308;HPE;13.14;7161564.0;HPE
309;HPQ;26.15;6974030.0;HPQ
310;HRC;100.81;1351633.0;HRC
311;HRL;49.06;2021897.0;HRL
312;HSY;146.6;778789.0;HSY
313;HTA;28.81;1109410.0;HTA
314;HTBK;9.23;193979.0;HTBK
315;HTH;30.49;372426.0;HTH
316;HTLF;44.61;110328.0;HTLF
317;HUBB;161.91;295742.0;HUBB
318;HUM;379.3;1646930.0;HUM
319;HURC;30.54;14469.0;HURC
320;HWBK;19.68;5958.0;HWBK
321;HWKN;56.4;23281.0;HWKN
322;HY;96.25;84692.0;HY
323;IBCP;20.32;135121.0;IBCP
324;IBM;121.79;3961249.0;IBM
325;IBOC;40.16;104122.0;IBOC
